'msg_id';'msg_level';'msg_area';'msg_name';'msg_desc'
'30000040';'INFO';'Firewall / Packet Filter';'Blocked site idle timeout';'Idle timeout has occurred for the specified blocked site, and it will be removed from the blocked sites list.'
#Firewall Log Messages
#Event
300000C9';'INFO';'Firewall / Packet Filter';'Load Balance Server(TCP Probe)';'Load Balance Server status update due to response or lack of response to a TCP Probe packet.
300000CB';'INFO';'Firewall / Packet Filter';'Load Balance Server(ICMP Probe)';'Update to status of Load Balance Server due to success or failure of ICMP Probe packet.
3000002F';'INFO';'Firewall / Packet Filter';'Feature not supported by feature key';'The device feature key does not support the specified feature.
3000012C';'ERROR';'Firewall / Packet Filter';'ARP spoofing attack';'Detected an ARP spoofing attack.
30000004';'INFO';'Firewall / Packet Filter';'Application Control feature expired';'The feature key for your Application Control subscription has expired.
30000005';'INFO';'Firewall / Packet Filter';'IPS feature expired';'The feature key for your Intrusion Prevention Services subscription has expired.
#Firewall Log Messages
#Traffic
30000148';'INFO';'Firewall / Packet Filter';'Normal traffic';'Details of normal traffic either allowed or denied by the firewall policy specified in the log message.'
30000149';'INFO';'Firewall / Packet Filter';'Application Control Traffic identified';'Application Control identified traffic for an application.'
30000150';'INFO';'Firewall / Packet Filter';'IPS Traffic detected';'IPS detected traffic that matches an IPS signature.'
30000151';'INFO';'Firewall / Packet Filter';'Traffic connection terminated';'Record for a terminated connection'
30011001';'INFO';'Firewall / Packet Filter';'Temporarily blocking host';'The host is blocked temporarily.'
#Networking Log Messages
#Diagnostic
5A00000A';'ERROR';'Networking / Dynamic DNS';'No response from server';'Not able to get response from specified dynamic DNS server.'
5A00000B';'ERROR';'Networking / Dynamic DNS';'Invalid response from server';'The dynamic DNS server returned an invalid response code.'
5A00000C';'INFO';'Networking / Dynamic DNS';'The time for next update';'The log message specifies the next update time for dynamic DNS.'
5A00000D';'DEBUG';'Networking / Dynamic DNS';'Send update request';'Sending dynamic DNS update request.'
5A000001';'INFO';'Networking / Dynamic DNS';'Response from Dynamic DNS server';'Receive the specified response from the dynamic DNS server.'
5A000002';'INFO';'Networking / Dynamic DNS';'Dynamic DNS Domain Name Resolved';'Dynamic DNS server domain name successfully resolved to an IP address.'
5A000003';'INFO';'Networking / Dynamic DNS';'Connected to the server';'Connected to the specified dynamic DNS server.'
5A000004';'INFO';'Networking / Dynamic DNS';'Connecting to the server';'Connecting to the specified dynamic DNS server.'
5A000005';'INFO';'Networking / Dynamic DNS';'Activate dynamic DNS';'Activate dynamic DNS on the specified interface.'
5A000006';'DEBUG';'Networking / Dynamic DNS';'Received reply from the server';'Received the specified reply from the dynamic DNS server.'
5A000007';'ERROR';'Networking / Dynamic DNS';'Unable to resolve domain name';'Could not resolve domain for dynamic DNS server.'
5A000008';'ERROR';'Networking / Dynamic DNS';'Failed to connect to the server';'Could not connect to the dynamic DNS server due to specified reason.'
5A000009';'ERROR';'Networking / Dynamic DNS';'Unable to connect to server';'Unable to connect to the specified dynamic DNS server.'
3100000F';'INFO';'Networking / Network Management';'Add bridge interface';'Add bridge interface in bridge mode.'
3100003D';'INFO';'Networking / Network Management';'Update ARP rules';'Update ARP rules for the specified cluster role.'
3100004F';'INFO';'Networking / Network Management';'Fix up multipath gateways';'Fix up multipath gateways of the specified number successfully.'
3100005A';'INFO';'Networking / Network Management';'Update wireless settings';'Update wireless settings'
3100005B';'INFO';'Networking / Network Management';'Update secondary IP settings';'Update secondary IP address settings for the specified interface.'
3100005C';'INFO';'Networking / Network Management';'Update route settings';'Update route settings.'
3100005D';'INFO';'Networking / Network Management';'Update 1to1 NAT settings';'Update 1-to-1 NAT settings.'
3100005E';'INFO';'Networking / Network Management';'Update DNS settings';'Update DNS settings.'
09000001';'ERROR';'Networking / PPPoE';'Duplicate PPPoE Instance Error';'Another instance of the PPPoE process is already active in the system.'
09000002';'ERROR';'Networking / PPPoE';'Invalid PPPoE automatic restart settings';'Automatic restart of PPPoE is disabled due to invalid settings.'
09000006';'INFO';'Networking / PPPoE';'Initiate PPPoE automatic restart';'PPPoE instance will restart automatically.'
09000007';'WARN';'Networking / PPPoE';'Skip PPPoE automatic restart';'PPPoE instance will not restart automatically due to no link.'
31000003';'INFO';'Networking / Network Management';'Initiate gratuitous ARP';'Initiate gratuitous ARP for the specified interface.'
31000004';'INFO';'Networking / Network Management';'Initiate gratuitous ARP';'Initiate gratuitous ARP for all the interfaces.'
31000030';'INFO';'Networking / Network Management';'Send interface logical link status event';'Interface status event is sent for logical link status change.'
31000031';'INFO';'Networking / Network Management';'Send interface link status event';'Interface status event is sent for link change.'
31000034';'INFO';'Networking / Network Management';'A change was made to the IP address of the external interface';'Handle IP address for the specified external interface.'
31000036';'INFO';'Networking / Network Management';'Layer 2 traffic gate is closed';'Layer 2 traffic gate is closed due to the specified reason.'
31000035';'ERROR';'Networking / Network Management';'Ignore unknown address operation';'Ignore unknown address operation on the specified interface.'
31000037';'INFO';'Networking / Network Management';'Layer 2 traffic gate is opened';'Layer 2 traffic gate is opened due to the specified reason.'
31000038';'INFO';'Networking / Network Management';'Traffic signal changed';'Traffic signal is changed to the specified status.'
31000050';'INFO';'Networking / Network Management';'Starting wireless AP';'Starting specified wireless AP.'
31000051';'INFO';'Networking / Network Management';'Stopping wireless AP';'Stopping the specified wireless Access Point.'
31000057';'INFO';'Networking / Network Management';'Start processing configuration';'Started to process configuration settings.'
31000058';'INFO';'Networking / Network Management';'Update bridge mode settings';'Update global bridge mode settings.'
31000059';'INFO';'Networking / Network Management';'Update drop-in mode settings';'Update global drop-in mode settings.'
31000070';'INFO';'Networking / Network Management';'Clean up stale connections';'Clean up stale connections for the expired IP address on dynamic interface.'
31130001';'ERROR';'Networking / Network Management';'Capture stopped';'Capture stopped due to the specified reason.'
45000001';'ERROR';'Networking / Modem';'Duplicate modem instance running';'System loaded Modem process, but another instance is already active.'
56000001';'INFO';'Networking / Dynamic Routing';'Update IPv4 Dynamic Routes';'Updated an IPv4 dynamic route.'
56010002';'ERROR';'Networking / Dynamic Routing';'Failed to retrieve license';'Failed to retrieve license features for dynamic routing.'
56010004';'ERROR';'Networking / Dynamic Routing';'Not able to get license';'Not able to get license for dynamic routing features.'
56010003';'ERROR';'Networking / Dynamic Routing';'Failed to parse license';'Failed to parse license features for dynamic routing.'
56020002';'DEBUG';'Networking / Dynamic Routing';'Received cluster event';'Received cluster ready event.'
56020001';'DEBUG';'Networking / Dynamic Routing';'Received interface event';'Received an interface status event.'
56020003';'DEBUG';'Networking / Dynamic Routing';'Received cluster event';'Received cluster role change event.'
56020004';'DEBUG';'Networking / Dynamic Routing';'Received license event';'Received a license update event.'
56020005';'ERROR';'Networking / Dynamic Routing';'RCS unresponsive';'The RCS at the specified IP address has become unresponsive'
56020006';'INFO';'Networking / Dynamic Routing';'Not able to forward request to RCS';'Not able to forward request to RCS due to no connection.'
56030001';'ERROR';'Networking / Dynamic Routing';'An error was detected in the configuration.';'The log message specifies the line number of the error.'
56040002';'ERROR';'Networking / Dynamic Routing';'Connection to RCS closed';'Connection to RCS closed.'
56040001';'ERROR';'Networking / Dynamic Routing';'Not able to connect to RCS';'Not able to connect to RCS with the specified IP address.'
#Networking Log Messages
#Event
0900000A';'INFO';'Networking / PPPoE';'Disconnect';'The PPPoE session for the specified interface is disconnected.'
3100000A';'INFO';'Networking / Network Management';'Interface shutting down';'Shutting down the specified interface.'
3100000B';'INFO';'Networking / Network Management';'Multi-WAN interface activated.';'Interface is activated due to link-monitor success. '
3100000D';'WARN';'Networking / Network Management';'Multi-WAN interface deactivated';'Interface is deactivated due to link-monitor failure.'
3100002B';'ERROR';'Networking / Network Management';'Interface is disabled';'Specified interface does not exist, The interface status is set to disabled.'
3100002C';'WARN';'Networking / Network Management';'Interface link status changed';'The interface link status has changed.'
3100003A';'WARN';'Networking / Network Management';'Cluster is enabled';'Cluster is enabled and is forming.'
3100003B';'WARN';'Networking / Network Management';'Cluster setting changed to disabled';'The cluster setting was changed from enabled to disabled.'
3100003E';'INFO';'Networking / Network Management';'Cluster A/P role changed';'The role of this device in the active/passive (A/P) cluster changed.'
3100003F';'INFO';'Networking / Network Management';'Cluster A/A role changed';'The Cluster active/active (A/A) role changed.'
3100006A';'WARN';'Networking / Network Management';'IPv6 interface deactivated.';'IPv6 interface was deactivated.'
3100006C';'INFO';'Networking / Network Management';'IPv6 interface shutting down';'Shutting down specified IPv6 interface.'
3100006D';'INFO';'Networking / Network Management';'IPv6 interface initializing';'Initializing specified IPv6 interface.'
6100000A';'INFO';'Networking / Wireless Controller';'Wireless Access Point paired';'The Wireless Access Point has been paired with the Gateway Wireless Controller.'
6100000B';'INFO';'Networking / Wireless Controller';'Wireless Access Point unpaired';'The Wireless Access Point has been unpaired with the Gateway Wireless Controller, and will be reset to the factory default configuration.'
6100000C';'WARN';'Networking / Wireless Controller';'Rogue Access Point detected';'The Gateway Wireless Controller has detected a Rogue Access Point at the given BSSID, broadcasting the indicated SSID.'
6100000F';'INFO';'Networking / Wireless Controller';'Scheduled Restart Event';'If scheduled restarts (reboot or wireless restart) are enabled, this log message will appear prior to the restart action taking place on the specified Wireless Access Point.'
09000004';'ERROR';'Networking / PPPoE';'Authentication failure';'The Firebox or XTM device failed to authenticate for PPPoE.'
09000005';'ERROR';'Networking / PPPoE';'PPPoE stopped';'PPPoE stopped unexpectedly due to an unknown error.'
09000008';'INFO';'Networking / PPPoE';'Enforce static IP address';'Replaced the assigned PPPoE IP address with the configured static IP address.'
09000009';'INFO';'Networking / PPPoE';'Session established';'The specified interface established a PPPoE session.'
16000001';'ERROR';'Networking / DHCP Server';'DHCP discover';'Received DHCP discover from the client, but there are no free leases available.'
16000002';'INFO';'Networking / DHCP Server';'DHCP offer';'The DHCP server offered an IP address to the specified client device.'
16000003';'INFO';'Networking / DHCP Server';'DHCP request';'Received DHCP request for specified IP address from the specified client.'
31000009';'INFO';'Networking / Network Management';'Interface initializing';'Initializing the specified interface.'
31000010';'ERROR';'Networking / Network Management';'Failed to add bridge';'Failed to add bridge'
31000029';'ERROR';'Networking / Network Management';'Failed to add interface IP address';'Failed to add the specified IP address to the specified interface.'
31000039';'INFO';'Networking / Network Management';'Cluster management interface change';'The configuration for the cluster management interface changed.'
31000046';'INFO';'Networking / Network Management';'Activating external interface';'Activating specified external interface.'
31000047';'INFO';'Networking / Network Management';'Deactivating external interface';'Deactivating the specified external interface.'
31000052';'INFO';'Networking / Network Management';'Starting wireless AP service';'Starting wireless AP service.'
31000054';'INFO';'Networking / Network Management';'Detect rogue wireless AP';'Starting rogue wireless AP detection scan.'
31000056';'INFO';'Networking / Network Management';'Restart detecting rogue wireless AP';'Restart rogue wireless AP detection scan.'
31000055';'INFO';'Networking / Network Management';'Stop detecting rogue wireless AP';'Stopping rogue wireless AP detection scan.'
31000069';'INFO';'Networking / Network Management';'IPv6 interface activated.';'An IPv6 interface was activated. The log message specifies the interface.'
31000072';'INFO';'Networking / Network Management';'No change for PPPoE IP address during cluster failover';'PPPoE IP address did not change during cluster failover.'
31000073';'INFO';'Networking / Network Management';'DHCP IP address change during cluster failover';'The cluster completed a failover.'
31000071';'INFO';'Networking / Network Management';'PPPoE IP address change during cluster failover';'The cluster completed a failover.'
31000074';'INFO';'Networking / Network Management';'No change for DHCP IP address during cluster failover';'DHCP IP address did not change during cluster failover.'
45000003';'INFO';'Networking / Modem';'Modem disconnected';'Specified modem is disconnected.'
45000004';'ERROR';'Networking / Modem';'Modem authentication failed';'Modem authentication failed.'
49000001';'ERROR';'Networking / Link Monitoring';'Multi-WAN Domain Name Resolution Failed';'Specified interface failed to resolve specified domain name for ping or TCP test for failover.'
49000002';'WARN';'Networking / Link Monitoring';'Multi-Wan Probe Failed';'Specified interface did not receive a response to Probe for failover.'
49000003';'ERROR';'Networking / Link Monitoring';'Probe failure';'Specified interface marked as Failed due to no response from ping or TCP host.'
56000002';'INFO';'Networking / Dynamic Routing';'Cluster role failed over to backup';'Cluster role failed over from master to backup'
56000003';'INFO';'Networking / Dynamic Routing';'Cluster role failed over to master';'Cluster role failed over from backup to master'
56010001';'WARN';'Networking / Dynamic Routing';'No valid feature key';'No valid feature key for the specified dynamic routing protocol.'
56010005';'INFO';'Networking / Dynamic Routing';'License status';'Specifies the license status for a dynamic routing protocol.'
61000002';'WARN';'Networking / Wireless Controller';'Model mismatch';'The Wireless Access Point appears to be a different model than what is configured in the Gateway Wireless Controller.'
61000005';'INFO';'Networking / Wireless Controller';'Wireless Access Point reboot';'A Wireless Access Point has rebooted.'
61000004';'INFO';'Networking / Wireless Controller';'New Wireless Access Point discovered';'A new Wireless Access Point has been discovered by the Gateway Wireless Controller.'
61000003';'WARN';'Networking / Wireless Controller';'Wireless Access Point activation failure';'The Gateway Wireless Controller is unable to contact the WatchGuard LiveSecurity Service to activate the service and support contract for the Wireless Access Point.'
61000006';'WARN';'Networking / Wireless Controller';'Wireless Access Point went offline';'A Wireless Access Point has gone offline.'
61000008';'INFO';'Networking / Wireless Controller';'Wireless Access Point firmware version change';'The Wireless Access Point firmware version has changed.'
61000010';'INFO';'Networking / Wireless Controller';'Automatic Deployment Event';'This log is generated whenever an unpaired Wireless Access Point is automatically deployed due to the Automatic Deployment setting being enabled.'
61000007';'INFO';'Networking / Wireless Controller';'Wireless Access Point now online';'A Wireless Access Point is now online.'
61000009';'INFO';'Networking / Wireless Controller';'Wireless Access Point configuration updated';'The Wireless Access Point has been reconfigured.'
61000011';'WARN';'Networking / Wireless Controller';'Wireless Access Point Fault Condition';'This log is generated whenever a fault condition is detected for a Wireless Access Point.'
68000003';'INFO';'Networking / Discovery';'On demand scan - stage 1 completed';'On demand scan - stage 1 completed'
68000001';'INFO';'Networking / Discovery';'Network scan completed';'Specified type of scan completed'
68000002';'INFO';'Networking / Discovery';'Network scan started';'Specified type and stage of scan started'
#Proxy Policy log messages
#Event
0F000015';'WARN';'Proxy / Connection Framework Manager';'APT threat notified';'When APT server analysis result returned and identified as certain level threat, this event log will be generated to inform that the APT notification has been sent with detailed information.'
0F000016';'INFO';'Proxy / Connection Framework Manager';'APT safe result from file submission. Details='%s'';'APT safe result from file submission. Details='Policy Name: HTTP-OUT-00 Reason: clean Message: APT safe object Task_UUID: 7a1e1500e92a410fa44d907f96b9209e MD5: d2723ba60dc88ec1ea449be9eee601cc Source IP: 10.0.1.2 Source Port: 50293 Destination IP: 100.100.100.3 Destination Port: 80 Proxy Type: HTTP Proxy Host: 100.100.100.3 Path: /test.exe''
1B0400CE';'ERROR';'Proxy / SMTP';'Ruleset lookup failed';'SMTP proxy -- Failed to check the specified ruleset'
1C0200CD';'ERROR';'Proxy / FTP';'Ruleset lookup failed';'FTP proxy -- Failed to check the specified ruleset'
#Proxy Policy log messages
#Traffic
1AFF000A';'INFO';'Proxy / HTTP';'Request missing URL path';'The HTTP proxy cannot complete the URL because the host or URI value is missing.'
1AFF000B';'INFO';'Proxy / HTTP';'Request URL match';'The requested URL matched a configured URL path in the HTTP proxy.'
1AFF000C';'INFO';'Proxy / HTTP';'Chunk size line oversize';'The HTTP chunk size line does not terminate correctly with a carriage return and line-feed (CRLF).'
1AFF000D';'INFO';'Proxy / HTTP';'Chunk size line invalid';'The HTTP chunk size line has an invalid hexadecimal value.'
1AFF000E';'INFO';'Proxy / HTTP';'Chunk no CRLF tail';'The HTTP chunk does not close with a carriage return and line feed (CRLF) because the chunk block is missing the closing characters.'
1AFF000F';'INFO';'Proxy / HTTP';'Footer line oversize';'One line of the HTTP footer, an additional header sent at the end of a message is larger than the configured line limit.'
1AFF001A';'INFO';'Proxy / HTTP';'Request method match';'The HTTP request method specified in the Request-Line matches a configured rule, or the default rule of no match.'
1AFF001C';'INFO';'Proxy / HTTP';'Header cookie domain match';'The cookie domain header matches a configured rule, or the default rule of no match.'
1AFF001D';'INFO';'Proxy / HTTP';'Request host missing';'The HTTP request header is missing the host value.'
1AFF001E';'INFO';'Proxy / HTTP';'Header authentication scheme match';'The authentication scheme in the HTTP header server response matches one of the configured rules, or the default rule of no match.'
1AFF001F';'INFO';'Proxy / HTTP';'Request method not supported';'The HTTP request method does not match a configured rule.'
1AFF0001';'INFO';'Proxy / HTTP';'Session timeout with server idle';'The HTTP session has timed out because no traffic has been received from the server for the specified amount of time.'
1AFF001B';'INFO';'Proxy / HTTP';'Header match';'The HTTP header line matches a configured rule, or the default rule of no match.'
1AFF0002';'INFO';'Proxy / HTTP';'Session timeout with client idle';'The HTTP session has timed out because no traffic has been received from the client for the specified amount of time.'
1AFF002B';'INFO';'Proxy / HTTP';'Trusted host';'The destination host name matches a proxy exception configured in the HTTP proxy.'
1AFF002C';'INFO';'Proxy / HTTP';'Bad reputation';'The HTTP proxy blocked access to the destination address because of a bad reputation score for the URL.'
1AFF002D';'INFO';'Proxy / HTTP';'Good reputation';'The HTTP proxy did not complete a Gateway AntiVirus (GAV) scan for traffic to the destination address because the URL received a good reputation score.'
1AFF002E';'INFO';'Proxy / HTTP';'Application match';'Application Control identified the application type from the HTTP client request or server response stream.'
1AFF002F';'INFO';'Proxy / HTTP';'DLP violation found';'Data Loss Prevention (DLP) detected a violation of DLP rules.'
1AFF0003';'INFO';'Proxy / HTTP';'Session timeout with close complete command timeout';'The Close HTTP Session command timed out because no response to the FIN packet was received within the response time limit (3 minutes).'
1AFF0004';'INFO';'Proxy / HTTP';'Oversize Start-Line';'The first line of the client request or server response is longer than the configured maximum line length.'
1AFF0005';'INFO';'Proxy / HTTP';'Invalid Request-Line format';'The request line from the client does not match the standard format of [Method][SP][Request-URI][SP][HTTP/Version].'
1AFF0006';'INFO';'Proxy / HTTP';'Invalid Status-Line format';'The status line from the server does not match the standard format of [HTTP/Version][SP][Status Code][SP][Reason].'
1AFF0007';'INFO';'Proxy / HTTP';'Header line oversize';'A single client request or server response line is longer than the configured maximum line length.'
1AFF0008';'INFO';'Proxy / HTTP';'Header block oversize';'The client request or server response header block length is longer than the configured limit.'
1AFF0009';'INFO';'Proxy / HTTP';'header block parse error';'The HTTP proxy cannot process the header line because the format is incorrect.'
1AFF0010';'INFO';'Proxy / HTTP';'Footer block oversize';'The HTTP footer includes additional header information that is larger than the configured block limit size.'
1AFF0011';'INFO';'Proxy / HTTP';'Footer block parse error';'The HTTP footer includes an additional header field with syntax that violates the header format restrictions.'
1AFF0012';'INFO';'Proxy / HTTP';'Body content type match';'The HTTP content either matches a configured Body Content Type or no Body Content Type is defined (only the default rule is in use).'
1AFF0013';'INFO';'Proxy / HTTP';'Header content malformed';'The HTTP header line does not follow the correct syntax for a client request or server response header.'
1AFF0016';'INFO';'Proxy / HTTP';'Header Transfer-Encoding match';'The Transfer-Encoding in the HTTP header matches a configured rule, or the default rule of no match.'
1AFF0018';'INFO';'Proxy / HTTP';'Header content type match';'The HTTP header Content Type matches a configured rule, or the default rule of no match.'
1AFF0019';'INFO';'Proxy / HTTP';'Request version match';'The HTTP version specified in the HTTP request line matches a configured rule, or the default rule of no match.'
1AFF0020';'INFO';'Proxy / HTTP';'Request port mismatch';'Relative-URI is in use and the port specified in the HTTP request host header does not match the port used for the connection.'
1AFF0021';'INFO';'Proxy / HTTP';'Request categories';'The HTTP request is sent to a web address that matched a selected WebBlocker category.'
1AFF0022';'INFO';'Proxy / HTTP';'Service unavailable';'WebBlocker categorization failed because the configured WebBlocker server is not available.'
1AFF0023';'INFO';'Proxy / HTTP';'Request';'URL path oversize''
1AFF0024';'INFO';'Proxy / HTTP';'Request';'A detailed summary of the last HTTP proxy transaction.'
1AFF0025';'INFO';'Proxy / HTTP';'Header IPS rule match';'Intrusion Prevention Service (IPS) detected an intrusion in the client request or server response header.'
1AFF0026';'INFO';'Proxy / HTTP';'Body IPS rule match';'Intrusion Prevention Service (IPS) detected an intrusion in the client request or server response content body.'
1AFF0028';'INFO';'Proxy / HTTP';'GAV Virus found';'Gateway AntiVirus (GAV) detected a virus or malware.'
1AFF0029';'INFO';'Proxy / HTTP';'GAV scan error';'Gateway AntiVirus (GAV) failed to scan because of an error.'
1AFF0030';'INFO';'Proxy / HTTP';'DLP cannot perform scan';'Data Loss Prevention (DLP) failed to scan the traffic because of the error specified in the log message.'
1AFF0031';'INFO';'Proxy / HTTP';'DLP object unscannable';'Data Loss Prevention (DLP) cannot extract data from an object because it is encrypted.'
1AFF0032';'INFO';'Proxy / HTTP';'HTTP object too large';'Data Loss Prevention (DLP) cannot scan the object because it is larger than the configured limit.'
1AFF0033';'INFO';'Proxy / HTTP';'Range header';'This is the configured action (allow or strip) for the HTTP proxy Range header.'
1AFF0034';'INFO';'Proxy / HTTP';'APT threat detected';'APT Blocker detected a threat.'
1AFF0036';'INFO';'Proxy / HTTP';'File submitted to APT analysis server';'File submitted to APT analysis server for deep threat analysis.'
1AFF0037';'INFO';'Proxy / HTTP';'Connect tunnel port match';'The HTTP CONNECT tunnel request port matches a configured rule, or the default rule of no match.'
1AFF0038';'INFO';'Proxy / HTTP';'Webproxy redirect';'The HTTP Webproxy connection was redirected to a different proxy action because of the configuration setting in explicit proxy.'
1AFF0039';'INFO';'Proxy / HTTP';'File reported safe from APT hash check';'APT hash check did not report a threat from the object''
1BFF000A';'INFO';'Proxy / SMTP';'Timeout';'The SMTP connection was idle for longer than the configured idle timeout limit.'
1BFF000C';'INFO';'Proxy / SMTP';'GAV Virus found';'Gateway AntiVirus (GAV) detected a virus or malware in an email attachment.'
1BFF000F';'INFO';'Proxy / SMTP';'Request';'This SMTP audit log specifies the bytes sent, bytes received, the sender and recipient addresses, and the sender and recipient TLS cipher.'
1BFF0000';'INFO';'Proxy / SMTP';'Greeting';'The host name in the SMTP proxy HELO or EHLO command matched one of the Greeting Rules, or the default rule of no match.'
1BFF000E';'INFO';'Proxy / SMTP';'GAV cannot perform scan';'Gateway AntiVirus (GAV) could not complete the scan because of the error that is specified in the log message.'
1BFF0001';'INFO';'Proxy / SMTP';'ESMTP option';'The EHLO response from the SMTP server includes an ESMTP option that is disabled or unknown.'
1BFF001A';'INFO';'Proxy / SMTP';'spamBlocker bulk spam';'spamBlocker has classified the message as bulk SPAM.'
1BFF001B';'INFO';'Proxy / SMTP';'spamBlocker suspect spam';'spamBlocker has classified the message as suspect SPAM.'
1BFF001C';'INFO';'Proxy / SMTP';'spamBlocker not SPAM';'spamBlocker has classified the message as not SPAM.'
1BFF001D';'INFO';'Proxy / SMTP';'spamBlocker classification unknown';'spamBlocker was unable to classify the email message because of an error.'
1BFF001E';'INFO';'Proxy / SMTP';'spamBlocker exception matched';'The sender or recipient of the email message matches a spamBlocker exception specified in the SMTP proxy.'
1BFF001F';'INFO';'Proxy / SMTP';'Decoder error';'The SMTP proxy was unable to decode the email message due to the error specified in the log message.'
1BFF002A';'INFO';'Proxy / SMTP';'File submitted to APT analysis server';'File submitted to APT analysis server for deep threat analysis.'
1BFF002B';'INFO';'Proxy / SMTP';'File reported safe from APT hash check';'APT hash check did not report a threat from the object''
1BFF0002';'INFO';'Proxy / SMTP';'Authentication (AUTH)';'The EHLO response from the SMTP server included an authentication type that matches a configured authentication rule.'
1BFF0003';'INFO';'Proxy / SMTP';'Header';'A MIME header matched a configured rule, or the default rule of no match.'
1BFF0004';'INFO';'Proxy / SMTP';'From address';'The sender address matched a rule specified in the Mail From rules.'
1BFF0005';'INFO';'Proxy / SMTP';'To address';'The recipient address matched a rule specified in the Rcpt To rules.'
1BFF0006';'INFO';'Proxy / SMTP';'Content type';'Some of the message content matched a content filter rule.'
1BFF0007';'INFO';'Proxy / SMTP';'Filename';'An email attachment matched a file name rule, or the attachment is uuencoded and the SMTP proxy allows uuencoded attachments.'
1BFF0010';'INFO';'Proxy / SMTP';'Message format';'The email message format matched a message format rule specified in the SMTP proxy.'
1BFF0011';'INFO';'Proxy / SMTP';'IPS match';'Intrusion Prevention Service (IPS) detected a threat.'
1BFF0013';'INFO';'Proxy / SMTP';'Too many recipients';'The number of email recipients specified in the email message exceeds the configured limit.'
1BFF0014';'INFO';'Proxy / SMTP';'Response size too long';'The SMTP server response exceeds the configured limit.'
